"","Analysis","Calculus 1","Calculus 2","Caps","Complex","Linalg1","Linalg 2","Nummat 1","Ode","Prob","Stat","Statr"
"912",6.5,NA,NA,6,NA,NA,6,NA,NA,NA,NA,NA
"913",NA,6,NA,6,NA,NA,5,NA,NA,NA,NA,NA
"914",6.5,9.5,8.5,8,10,7,8.5,8,7.5,9.5,9,9
"915",NA,6,6,NA,7,5,NA,NA,NA,NA,NA,NA
"916",NA,8,7.5,NA,7.5,6.5,NA,NA,NA,NA,NA,NA
"917",NA,7,6,NA,NA,6,NA,NA,NA,NA,NA,NA
"918",NA,7.5,7.5,NA,NA,6,NA,NA,NA,NA,NA,NA
"919",NA,8.5,7,NA,5,6,NA,NA,NA,NA,NA,NA
"920",NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"921",NA,6.5,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA
"922",2.5,8.5,6,8,1.5,7,8.5,NA,NA,8,NA,NA
"923",NA,8,6,NA,NA,6.5,NA,5,NA,NA,NA,NA
"924",NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"925",NA,8.5,7,NA,9,6,NA,NA,NA,NA,NA,NA
"926",7,8.5,8,6.5,NA,NA,6,NA,NA,4,NA,NA
"927",NA,9,7,NA,NA,6,NA,7.5,NA,NA,NA,NA
"928",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"929",NA,8,6,NA,NA,7.5,NA,NA,NA,NA,NA,NA
"930",NA,8.5,6,NA,NA,5,NA,NA,NA,NA,NA,NA
"931",8,9.5,8.5,8.5,9,7.5,9,8.5,10,9.5,9.5,NA
"932",7.5,8.5,7,8,8.5,7.5,8.5,9,8.5,9,10,10
"933",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"934",NA,8,1,NA,NA,2.5,NA,NA,NA,NA,NA,NA
"935",NA,8.5,7,NA,NA,6,NA,NA,NA,NA,NA,NA
"936",6,8.5,7.5,NA,8.5,9,7,NA,7.5,9,7.5,NA
"937",NA,3.5,4,NA,NA,6.5,NA,NA,NA,NA,NA,NA
"938",3.5,7.5,6,6,NA,7.5,6,5,7,NA,4,NA
"939",9,9,7,7.5,8.5,7,9.5,8.5,9.5,10,6.5,NA
"940",NA,8.5,7.5,NA,7.5,8,NA,NA,NA,NA,NA,NA
"941",NA,6,2,NA,NA,3.5,NA,NA,NA,NA,NA,NA
"942",NA,9,NA,NA,NA,8,NA,NA,NA,NA,NA,NA
"943",6.5,8,7,6.5,6,5,6.5,7,8,8,6.5,NA
"944",2,7.5,4,NA,NA,8,4,NA,NA,3.5,NA,NA
"945",8.5,9,8.5,7.5,8,7,7.5,8,8,8.5,NA,NA
"946",NA,8,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA
"947",NA,9,8.5,NA,9,7,NA,9,NA,NA,NA,NA
"948",NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"949",NA,7,5,NA,NA,6,NA,NA,NA,NA,NA,NA
"950",NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"951",NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"952",6,NA,6,6.5,NA,5,6,NA,NA,5,NA,NA
